x,y,cell_area,ID_mrgd,name_merge
-15.5,88.5,323766784,165,Central Arctic
-14.5,88.5,323795264,165,Central Arctic
-13.5,88.5,323827168,165,Central Arctic
-12.5,88.5,323867968,165,Central Arctic
-11.5,88.5,323912352,165,Central Arctic
-10.5,88.5,323957664,165,Central Arctic
-9.5,88.5,323997984,165,Central Arctic
-8.5,88.5,324034848,165,Central Arctic
-7.5,88.5,324071584,165,Central Arctic
-6.5,88.5,324112000,165,Central Arctic
-5.5,88.5,324158912,165,Central Arctic
-4.5,88.5,324206272,165,Central Arctic
-3.5,88.5,324252320,165,Central Arctic
-2.5,88.5,324292576,165,Central Arctic
-1.5,88.5,324331648,165,Central Arctic
-0.5,88.5,324370912,165,Central Arctic
0.5,88.5,324410656,165,Central Arctic
1.5,88.5,324453376,165,Central Arctic
2.5,88.5,324496128,165,Central Arctic
3.5,88.5,324539008,165,Central Arctic
4.5,88.5,324579040,165,Central Arctic
5.5,88.5,324617056,165,Central Arctic
6.5,88.5,324654112,165,Central Arctic
7.5,88.5,324689664,165,Central Arctic
8.5,88.5,324724800,165,Central Arctic
9.5,88.5,324758688,165,Central Arctic
10.5,88.5,324791136,165,Central Arctic
11.5,88.5,324821920,165,Central Arctic
12.5,88.5,324851232,165,Central Arctic
13.5,88.5,324874720,165,Central Arctic
14.5,88.5,324894976,165,Central Arctic
15.5,88.5,324914112,165,Central Arctic
16.5,88.5,324933056,165,Central Arctic
17.5,88.5,324948000,165,Central Arctic
18.5,88.5,324961952,165,Central Arctic
19.5,88.5,324975296,165,Central Arctic
20.5,88.5,324985920,165,Central Arctic
21.5,88.5,324997184,165,Central Arctic
22.5,88.5,325007584,165,Central Arctic
23.5,88.5,325016608,165,Central Arctic
24.5,88.5,325024288,165,Central Arctic
25.5,88.5,325028992,165,Central Arctic
26.5,88.5,325031392,165,Central Arctic
27.5,88.5,325032864,165,Central Arctic
28.5,88.5,325030688,165,Central Arctic
29.5,88.5,325026144,165,Central Arctic
30.5,88.5,325020768,165,Central Arctic
31.5,88.5,325013728,165,Central Arctic
32.5,88.5,325005952,165,Central Arctic
33.5,88.5,324997152,165,Central Arctic
34.5,88.5,324988096,165,Central Arctic
35.5,88.5,324978048,165,Central Arctic
36.5,88.5,324967712,165,Central Arctic
37.5,88.5,324956544,165,Central Arctic
38.5,88.5,324944352,165,Central Arctic
39.5,88.5,324931552,165,Central Arctic
40.5,88.5,324918016,165,Central Arctic
41.5,88.5,324904160,165,Central Arctic
42.5,88.5,324892768,165,Central Arctic
43.5,88.5,324881952,165,Central Arctic
44.5,88.5,324870976,165,Central Arctic
45.5,88.5,324859904,165,Central Arctic
46.5,88.5,324848736,165,Central Arctic
47.5,88.5,324837312,165,Central Arctic
48.5,88.5,324823808,165,Central Arctic
49.5,88.5,324810400,165,Central Arctic
50.5,88.5,324797440,165,Central Arctic
51.5,88.5,324784928,165,Central Arctic
52.5,88.5,324772768,165,Central Arctic
53.5,88.5,324760704,165,Central Arctic
54.5,88.5,324754368,165,Central Arctic
55.5,88.5,324753408,165,Central Arctic
56.5,88.5,324752448,165,Central Arctic
57.5,88.5,324751520,165,Central Arctic
58.5,88.5,324750560,165,Central Arctic
59.5,88.5,324749600,165,Central Arctic
60.5,88.5,324652736,165,Central Arctic
61.5,88.5,324653792,165,Central Arctic
62.5,88.5,324654816,165,Central Arctic
63.5,88.5,324655840,165,Central Arctic
64.5,88.5,324656896,165,Central Arctic
65.5,88.5,324657920,165,Central Arctic
66.5,88.5,324664320,165,Central Arctic
67.5,88.5,324676544,165,Central Arctic
68.5,88.5,324688896,165,Central Arctic
69.5,88.5,324701632,165,Central Arctic
70.5,88.5,324714880,165,Central Arctic
71.5,88.5,324728576,165,Central Arctic
72.5,88.5,324742368,165,Central Arctic
73.5,88.5,324754144,165,Central Arctic
74.5,88.5,324765664,165,Central Arctic
75.5,88.5,324777120,165,Central Arctic
76.5,88.5,324788512,165,Central Arctic
77.5,88.5,324799808,165,Central Arctic
78.5,88.5,324811680,165,Central Arctic
79.5,88.5,324826016,165,Central Arctic
80.5,88.5,324840096,165,Central Arctic
81.5,88.5,324853472,165,Central Arctic
82.5,88.5,324866336,165,Central Arctic
83.5,88.5,324878208,165,Central Arctic
84.5,88.5,324889344,165,Central Arctic
85.5,88.5,324900160,165,Central Arctic
86.5,88.5,324909984,165,Central Arctic
87.5,88.5,324919520,165,Central Arctic
