fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Qatar,ssp126,2041-2050,Asia,countries,-14.84259459,-7.508127005,25.77848915,-85.10999091,0.279530383,10,90,0.028844051,TRUE,1,,,,,,,,,,,
Qatar,ssp126,2091-2100,Asia,countries,-14.80911115,-6.774658071,25.19729843,-84.91280265,-1.713228707,10,100,1.41E-13,TRUE,,,,,,,,,,,,
Iraq,ssp126,2091-2100,Asia,countries,-14.74645396,-14.89592925,4.380325422,-19.05012855,-10.29330409,3,100,6.76E-17,FALSE,,,,,,,,,,,,
Guinea-Bissau,ssp585,2041-2050,Africa,countries,-14.73424718,-15.24921695,7.699525165,-23.49281751,2.795782144,10,90,0.070780043,,,,,,,,,,,,,
El Salvador,ssp585,2041-2050,Americas,countries,-14.64651063,-11.63522759,12.54421326,-42.98776587,-0.370316586,10,100,0.963945747,,,,,,,,,,,,,
Sri Lanka,ssp126,2091-2100,Asia,countries,-14.49516332,-14.40796768,6.791400093,-29.34122098,-3.665810568,10,100,1.41E-13,FALSE,,,,,,,,,,,,
Andaman and Nicobar Islands,ssp585,2091-2100,Asia,countries,-14.48200265,-16.30242232,6.513826119,-23.23873784,-3.974465649,10,100,4.91E-14,FALSE,,,,,,,,,,,,
South Africa,ssp585,2091-2100,Africa,countries,-14.44328821,-12.50674854,13.00059916,-43.27198982,7.348464454,10,90,5.50E-11,,,,,,,,,,,,,
Taiwan Province of China,ssp585,2041-2050,Asia,countries,-14.35356147,-12.56037855,5.746643718,-28.72317906,-7.709142923,10,100,0.709433663,FALSE,1,,,,,,,,,,,
Thailand,ssp585,2091-2100,Asia,countries,-14.35349089,-11.85758622,11.31959514,-36.27476647,2.616339223,10,90,4.23E-09,FALSE,,,,,,,,,,,,
El Salvador,ssp126,2041-2050,Americas,countries,-14.33989824,-9.742062476,16.20213259,-51.81196056,1.581512545,10,90,0.963945747,,,,,,,,,,,,,
Sao Tome and Principe,ssp585,2041-2050,Africa,countries,-14.33058392,-15.36254584,8.418885944,-26.86928313,-1.309890273,10,100,3.25E-05,,,,,,,,,,,,,
