"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"69","the Arab Republic of Egypt","Egypt","Egypt","Africa","AFR","EGY","EGY","the Arab Republic of Egypt","the Arab Republic of Egypt","Bir Tawil","","Egypt"
"70","the Arab Republic of Egypt","Egypt","Egypt","Africa","AFR","EGY","EGY","the Arab Republic of Egypt","the Arab Republic of Egypt","Egypt","Egypt","Egypt"
"71","the Republic of El Salvador","El Salvador","El Salvador","America","AME","SLV","SLV","the Republic of El Salvador","the Republic of El Salvador","El Salvador","El Salvador","El Salvador"
"72","the Republic of Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","Africa","AFR","GNQ","GNQ","the Republic of Equatorial Guinea","the Republic of Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","Equatorial Guinea"
"73","the State of Eritrea","Eritrea","Eritrea","Africa","AFR","ERI","ERI","the State of Eritrea","the State of Eritrea","Eritrea","Eritrea","Eritrea"
"74","the Republic of Estonia","Estonia","Estonia","Europe","EUR","EST","EST","the Republic of Estonia","the Republic of Estonia","Estonia","Estonia","Estonia"
"75","the Kingdom of Eswatini","Eswatini","Eswatini","Africa","AFR","SWZ","SWZ","the Kingdom of Eswatini","the Kingdom of Eswatini","Eswatini","Eswatini","Eswatini"
"76","the Federal Democratic Republic of Ethiopia","Ethiopia","Ethiopia","Africa","AFR","ETH","ETH","the Federal Democratic Republic of Ethiopia","the Federal Democratic Republic of Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"77","the Republic of Fiji","Fiji","Fiji","Oceania","OCE","FJI","FJI","the Republic of Fiji","the Republic of Fiji","Fiji","Fiji","Fiji"
"78","the Republic of Finland","Finland","Finland","Europe","EUR","FIN","FIN","the Republic of Finland","the Republic of Finland","Finland","Finland","Finland"
"79",NA,NA,"Finland","Europe","EUR","FIN","ALA","�land Islands",NA,"0land Islands","�land Islands",NA
"80","French Guiana","French Guiana","France","America","AME","FRA","GUF","French Guiana","French Guiana","French Guiana","French Guiana (Fr.)","French Guiana"
"81","French Polynesia","French Polynesia","France","Oceania","OCE","FRA","PYF","French Polynesia","French Polynesia","Clipperton Island","Clipperton Island","French Polynesia"
"82","French Polynesia","French Polynesia","France","Oceania","OCE","FRA","PYF","French Polynesia","French Polynesia","French Polynesia","French Polynesia *","French Polynesia"
"83","Guadeloupe","Guadeloupe","France","America","AME","FRA","GLP","Guadeloupe","Guadeloupe","Guadeloupe","Guadeloupe (Fr.)","Guadeloupe"
"84","Martinique","Martinique","France","America","AME","FRA","MTQ","Martinique","Martinique","Martinique","Martinique (Fr.)","Martinique"
"85","Mayotte","Mayotte","France","Africa","AFR","FRA","MYT","Mayotte","Mayotte","Mayotte","Mayotte","Mayotte"
"86","New Caledonia","New Caledonia","France","Oceania","OCE","FRA","NCL","New Caledonia","New Caledonia","New Caledonia","New Caledonia *","New Caledonia"
"87","Saint Pierre and Miquelon","Saint Pierre and Miquelon","France","America","AME","FRA","SPM","Saint Pierre and Miquelon","Saint Pierre and Miquelon","Saint Pierre et Miquelon","Saint Pierre et Miquelon (Fr.)","Saint Pierre and Miquelon"
"88","the French Republic","France","France","Europe","EUR","FRA","FRA","the French Republic","the French Republic","France","France","France"
"89",NA,NA,"France","Africa","AFR","FRA","ATF","French Southern and Antarctic Territories",NA,"Bassas da India","Bassas da India (Fr.)",NA
"90",NA,NA,"France","Oceania","OCE","FRA","WLF","Wallis and Futuna Islands",NA,"Wallis and Futuna","",NA
"91",NA,NA,"France","Africa","AFR","FRA","ATF","French Southern and Antarctic Territories",NA,"French Southern Territories","French Southern Territories (Fr.)",NA
